selfies,smiles
[N][Branch1][=Branch2][C][=C][N][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][C][C][N][C][=Branch1][C][=O][C][C][N][Branch2][Ring1][#Branch1][C][=N][N][Branch1][Branch1][C][C][C][C][=Branch1][C][=O][C][=Ring1][Branch2][C][C][Ring2][Ring1][Ring2][=O],N(C1=CN=CC=C1)NC(=O)[C@@H1](C)CCNC(=O)CCNC=NN(CCCC)C=O
[C][Branch1][Ring1][O][C][=C][Branch2][Ring2][=Branch1][N][C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][Branch1][C][C][Branch1][P][N][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][=C][Branch1][C][C][N][=C][Ring1][=Branch2][=O][N][Ring2][Ring1][C][C][O][Ring2][Ring1][#Branch2],C1(OC)=C(NC(=O)N[C@H1](CCNC=C([N+1]([O-1])=O)C=C(C)N)C=O)CCO1
[N][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][=C][Ring1][=Branch2][C][Ring2][Ring1][#Branch1][=N][C][=Ring2][Ring1][O],N1(C2C)C(=O)N(C3=CC=CC=C3)C(=O)C4=CC=C([N+1]([O-1])=O)C=C4C2=NC1
[C][=C][Branch2][Ring1][=C][C][=Branch1][C][=O][N][C][C][Branch1][S][C][=N][N][Branch1][#Branch1][C][C][=C][C][=Ring1][=Branch1][C][Ring1][=Branch2][=C][Branch1][C][O-1][C][=C][C][Branch1][C][C][=N][Ring2][Ring1][Branch1],C=C(C(=O)NCC(C=NN(CC=CC)C=C)([O-1])C=C)C(C)=N
[C][C][C][N][C][=C][C][Branch2][Ring1][=Branch1][C][Branch2][Ring1][C][N-1][C][=Branch1][C][=O][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][=O][=N][Ring2][Ring1][Ring2],CCCNC=CC(C[N-1]C(=O)C=1NC2=CC=CC=C2C=1)=O
[C][=N][C][=N][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][C][C][N][C@@H1][Branch2][Ring1][=Branch1][C][Branch1][#C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][Ring1][#Branch1][=O][C][Ring1][=C][C][Ring2][Ring1][Branch1],C12=NC=NC=C1C(=O)N2CCCN[C@@H1](C(C3=CC4=CC(=C3)CCC4)=O)CC
[F][C][=C][Branch1][C][F][C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][N][C][C@@H1][Branch1][#C][C@@H1][C][=C][C][=C][N][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring2][Ring1][Branch1][F],FC=C(F)C(C(=O)NC[C@@H1]([C@@H1]C1=CC=CN=C1[N+1](=O)[O-1])C)F
[N][=C][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][C][Branch1][C][O-1][=O][N][=Ring1][=Branch2],N=C(CC1CC1=2)C(=O)C=C(C([O-1])=O)N=2
[C][=C][C][=N][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],C1=CC=NC=C1C(=O)NC2=CC=CC=C2
[C][Branch1][C][Cl][=N][NH1][N][=C][Ring1][=Branch1][C@H1][Branch1][S][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][=Ring1][S],C1(Cl)=N[NH1]N=C1[C@H1](NC(=O)CN2C(=O)CCC2)C(=O)C
[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][C][N][Branch1][=N][C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][=O][C][Ring2][Ring1][C],O=C(NC1=CC=CC=C1)[C@H1]CN(C(C2=CC=CN=C2)=O)C
[C][Branch2][Ring1][Ring2][N][C][=C][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][=C][C][Branch1][=Branch1][C][Branch1][C][F][F][=C][C][=C][Ring1][=Branch2][=O][N][C][Branch1][C][C][=N][C][=C][Ring1][=Branch1][C][Ring2][Ring1][#Branch1][=O],C(N1C=C(C([O-1])=O)C2=CCC(F)F)=CC=C2ON3C(C)=NC=C3C1=O
[C][=C][C][=C][Branch2][Ring1][=C][C][=C][Branch1][=Branch1][C][=C][N][Ring1][Branch1][C][=C][Ring1][#Branch2][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][N][C][Branch1][C][C][=C][Ring1][Branch2][O][C][=C][Ring2][Ring1][#Branch2],C1=C2C=C(C3=C(C=CN3)C=C2CC(=O)NC4=CC=C(N)CC)C4OC=C1
[C][N][=C][Branch2][Ring2][=Branch1][C][N][C][=Branch1][C][=O][C][N][N][=C][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][Branch1][P][N][C][=C][Branch1][#Branch1][N][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][=O][N][=Ring2][Ring1][Ring1][N][=Ring2][Ring1][O],C1N=C1CNC(=O)CNN=C(C([O-1])=O)C2(NC3=C(N=CC=C3)N=C2O)N
[N][Branch1][C][C][N][=C][Branch2][Ring1][#Branch2][N][C][Branch1][Ring1][C][#N][=C][Branch1][C][N][O][C@][Ring1][Branch2][Branch1][C][O-1][C][=C][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][Branch1][C][O-1][=O][C][Ring2][Ring1][=Branch1],N(C1)N=C(N2C(C#N)=C(N)O[C@]2([O-1])C=CC(=O)NCC([O-1])=O)C1
[C][Branch1][C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][Branch2][N][C][C][N][Branch1][=C][C][=C][Branch1][C][Cl][C][Branch1][C][C][=C][C][=C][Ring1][Branch2][O-1][C][Ring1][=C][=O][O][S][Ring2][Ring1][Ring2],C(C)=CC(C)=C(NCCN(C1=C(Cl)C(C)=CC=C1)[O-1])C=O
[C][Branch2][Ring2][C][N][C][C][=C][Branch1][C][C][N][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C@H1][C][C][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][Ring1][P][=O][=C][C][=Ring2][Ring1][=Branch2][C],C(NCC=C(C)N(C(=O)N[C@H1]C1C[C@H1]C2=CC=CC=C21)C)=O
[C][=C][C][Branch1][#C][C@H1][C][N][Branch1][=Branch1][C][Branch1][C][F][C][C][Ring1][=Branch2][=N][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][=C][=O],C=C1C([C@H1]CN(C(F)C)C1=N)C(C=CC2=C(C3=CC=CC=C3O)CCOC)=C2O
[O][=C][C][Branch1][#C][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][N][=C][N][Ring1][=Branch2][C][=C][C][=C][Ring1][P][C][C][C][N][Branch1][N],O=CC1(N(CC(=O)[O-1])N=CN1)C=CC=CCCCN
[N][N][Branch2][Ring1][#Branch2][C][Branch2][Ring1][C][N][C][C][C][Branch1][=Branch2][C][=N][C][=C][C][=N][Ring1][=Branch1][=O][C][Ring1][P][N][=C][C][=C][Ring1][S][N][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=N][=O],NN(C(N1CCC(C2=NC=CC=N2)=O)PN=CC)C1N=CC3=CC=CC=C3O
[C][=C][C][Branch1][=Branch2][C][Branch1][C][O-1][Branch1][C],C=CCC[O-1]
[O][C][Branch1][C][C][=C][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Branch1][Ring1][C][#N][C@H1][Ring1][#Branch2][N][C][Branch1][P][N][C][C][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][=C][Ring1][=Branch2][=O],OC(C1)=CC([N+1]([O-1])=O)=C(C#N)[C@H1]1NC(NC2CC=C([N+1]([O-1])=O)C=C2)=O
[O][=C][Branch1][S][C][N][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][=C][C][=C][C][Branch1][=Branch1][C][Branch1][C][O-1][=O][=C][Ring1][=Branch2][N],O=C(CNC(CC(=O)[O-1])=CC=CC)C([O-1])=O
[C][Branch1][C][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=Branch1][C][=O][N][N][Branch1][=Branch2][C@@H1][C][C][N@@H1+1][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][C][Ring1][=C][C][Branch1][C][O-1][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][=C],C1(C)=CC=CC(=O)NN([C@@H1]CC[N@@H1+1]CC2=CC=CC(C)=C2)CC([O-1])=CC=C1
[O][=C][Branch2][Ring1][Branch1][N][C][Branch1][S][C][C][O][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=O][=C][N][=C][Ring1][#C],O=C(NC(CCOC(N1CCCC1)=O)N)C
[N][C][=C][Branch1][#C][N][C][=Branch1][C][=O][C][=N][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring1][S][C][C][N][Branch2][Ring1][Branch2],N1C=C(NC(=O)C2=NC=CC=N2)C1CCN
[F][C][Branch2][Ring1][=N][S][C][C][=Branch1][C][=O][N][C][C][N][Branch1][#C][C][Branch1][O][C][N][N][=C][C][=C][Ring1][Branch1][=O][C][C][Ring1][S],FCSCC(=O)NCCNC(CN1N=CC=C1OC)C
[O][C][C@H1][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][C][C][N][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][=Branch1][C][=O][N][C@H1][C][C][N@H1+1][Ring1][=Branch2][C][C][Ring2][Ring1][Ring2],OC[C@H1]([N+1]([O-1])=O)CCCNC(=O)[C@H1](C(=O)N[C@H1])CC[N@H1+1]CC
[O][C][=Branch1][C][=O][C][O][C][Branch1][C][C][=C][C][=C][Branch2][Ring1][Branch1][C][Branch1][P][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1][=O][=O][C][=C][Ring2][Ring1][Ring1],OC(=O)COC(C)=C1C=C(CNC2=CC=C(C=C2)OCCO)OOC=C1
[C][Branch2][Ring1][Ring2][C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][NH1][N][=Ring1][=Branch2][S][C][=C][Branch1][C][C][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C],C(C=1C2=C(C=CC=C2)[NH1]N=1)C3CN=C([N+1](=O)[O-1])C=C3C
[O][Branch2][Ring1][=Branch1][C][Branch2][Ring1][Ring2][N][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][N][=O][C][C][C][Branch1][C][C][N][=C][N][Branch1][C][C][N][=Ring1][=Branch1],O(CN1CCN(C2=CC=CC=C2)CC1=O)CCC(C=3)N=CN(C)N=3
[C][N][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2],CNC(=O)C=CC=C
[C][=C][Branch2][Ring2][#Branch2][N][C][Branch2][Ring1][=C][N][C][=Branch1][C][=O][C][=C][C][=Branch1][C][=O][N][Branch2][Ring1][Ring1][C][C][=N][C][Branch1][#Branch2][N][C][=C][N][=C][C][=C][Ring1][=Branch1][=N][O][Ring1][N][C][Ring2][Ring1][=Branch1][=O][C][=C][Ring2][Ring1][=N],C1=C(NC(N2C(=O)C=CC(=O)NCC3=NC(NC4=CN=CC=C4)=NO3)C2)OC=C1
[O][=C][Branch2][Ring1][Branch2][C@@H1][C][N][Branch1][#C][C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=O][C][Ring1][#C][N][C][=C][N][=C][C][=C][Ring1][=Branch1],O=C([C@@H1]CNCC(N1CCCCC1)=O)CN=CC=C
[N][Branch2][Ring2][#Branch1][C][=Branch1][C][=O][C][=N][C][=N][N][Ring1][Branch1][C][C][=Branch1][C][=O][N][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][C][C][=C][C][=N][C][=C][Ring1][P][Ring1][=Branch1][C][C][O][C][Ring2][Ring1][=N],N1(C(=O)C2=NC=NN2C3C(=O)N(N4CCOCC4)CC5=CC=NC=C35)CCOC1
[C][O][C@@H1][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][#Branch1][C][=N][C][=C][Ring1][=Branch1][C@H1][Ring1][=N][C][=Branch1][C][=O][N][Branch1][C][C][C][C][Ring1][=C],CO[C@@H1](C1=NC=CC2=C13)[C@H1](C=NC=C3)[C@H1]C(=O)N(C)CC2
[C][N][Branch2][Ring1][#C][C][=C][C][Branch1][C][N][=C][C][Branch2][Ring1][Branch2][N][/N][=C][/C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][Ring1][=Branch2][=C][Ring2][Ring1][C][C][=C][C][=C][Ring2][Ring1][Branch2],CN(C=C1C(N)=CCN/N=C/C2=C(C(N)=O)C=CC=C2C1C)CC=C
[N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][Branch2][Ring1][Branch1][C][N][Branch1][=Branch2][N][=C][Ring1][=C][C][Branch1][#C][N][C][C][=C][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][=N][Ring1][Branch2][C][=C][Ring2][Ring1][=Branch2],N1(C(F)(F)F)C(CNN=C1CNC2C=C(C([O-1])=O)C=N2)C=C
[N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=N][N][Ring1][P][C],N(C1=CC=CC=C1)C(F)(F)F
[C][Branch2][Ring2][Branch2][C@H1][N][Branch2][Ring1][=N][C][Branch2][Ring1][#Branch1][C][N][C][=Branch1][C][=O][C][C][=Branch1][C][=O][N][Branch1][Ring1][C][C][C][=Ring1][#Branch2][C][=O][=O][C][=N][C][=C][C][=C][Ring2][Ring1][=Branch1][F],C([C@H1]1N(C(CN2C(=O)CC(=O)N(CC)C2C=O)C=N)C=CC=C1)F
[C][=C][N][=C][C][Branch2][Ring2][#Branch1][C][C][Branch1][C][N][=N][N][Branch1][C][C][C][Branch1][C][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][N][C@@H1][C][C][N][Branch1][C][C][C][Ring1][#Branch1][=C][Ring2][Ring1][Branch1][N][=C][Ring2][Ring1][O],C1=CN=C2C1C3C(N)=NN(C)C(C)=C3C(=O)N4[C@@H1]CCN(C)C4=C2N=C
[N][C][=Branch1][C][=O][N][Branch2][Ring1][#Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][N][=C][Ring1][O][C][=C][Branch1][#Branch1][N][C][Branch1][C][C][=O][N][Branch1][C][C][C][Branch1][C][C][=N][Ring2][Ring1][=Branch1],NC(=O)N(C1=CC=NC=C1N=CC=C(NC(C)=O)NC)C(C)=N
[N][Branch2][Ring1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][S][C][C][Ring2][Ring1][Ring1],N1(C(=C1)C2=CC=CC=C2N[C@@H1]CC(N)=O)SCC
[C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][=N][C][=N][Ring1][=N],C1(C2=CC=NC=C2)NC(C)=NC=N1
[O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][Branch1][S][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][Ring1][C],OC(=O)C1=C2C=CC(=C1)N(C(=O)C3=CC=C(OC)C=C3)C(=O)N2C
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][Branch1][C][O-1][=O][=C][Branch1][#C][N][C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=O][N][=Ring2][Ring1][Ring2],C1=CC2=CC=C1C(C([O-1])=O)=C(NCC3=CC=CC=C3C=O)N2
[C][Branch2][Ring1][Branch2][C][C][N][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=N][N][Ring1][Branch2][C][=N][C][=Ring1][N][=C][N][Branch1][C][C][N][=Ring2][Ring1][Ring2],C(C=1C2NC([N+1]([O-1])=O)=NN2C=NC=1CNC)#N
[N][C][Branch1][C][C][=C][Branch1][=C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][=Ring1][O][N][=N][N][=Ring1][#C],NC(C)=C(N1C(=O)CCC(=O)NC)C(=O)CN=NN1
[C][C][N][C][=Branch1][C][=O][C][=N][N][Branch1][Ring1][C][C][C][=Ring1][=Branch1][N][=C][Branch1][P][N][C][C][C][C@H1][C][C][C@@H1][Ring1][Branch1][C][Ring1][=Branch2][=O][C][C][N][Ring2][Ring1][#Branch1][C],CC1NC(=O)C2=NN(CC)C2N=C(N3CCC4[C@H1]CC[C@@H1]4C3=O)N1C
[C][Branch1][C][C][N][=C][Branch2][Ring1][N][N][C][=Branch1][C][=O][C][C@H1][Branch1][S][N][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][Ring1][=Branch2][C][C][Ring1][S][N][=C][C][=Ring2][Ring1][#Branch1],C1(C)N=C1NC(=O)C[C@H1](NC2=C(C(N)=O)C=CC=C2)CC
[C][=C][C][Branch2][Ring1][P][C][N][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][N][=C][C][=N][Ring1][#Branch2][C][C][Ring2][Ring1][Ring1][=C][C][=C][C][=C][Ring2][Ring1][N],C12=CC(C3N1C(=O)CNC(=O)C4=C(C=CC=C4)N=CC=N)C3=CC=CC=C2
[S][Branch1][C],S
[C][Branch2][Ring1][Branch2][C@@H1][C][=Branch1][C][=O][N][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][=C][=O][N][Branch1][#Branch1],C1([C@@H1]C(=O)N(C2=CC=C(OC)C=C2)C1)=O
[C][=C][Branch2][Ring2][#Branch1][C][C][=N][N][Branch2][Ring1][O][C][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Branch1][Ring1][C][C][C][=Ring1][#Branch2][C][Ring2][Ring1][Ring2][C][=C][C][=C][Ring2][Ring1][N],C1#CCC=NN1CCC(=O)NCC(=O)N(C)C(=O)N(CC)C
[O][=C][Branch2][Ring1][#Branch2][C][C][Branch2][Ring1][Ring1][N][C][Branch1][S][C][C][Branch1][C][C][=N][N][Branch1][Ring1][C][C][C][=Ring1][#Branch1][=O][NH1][N][=Ring1][S][C][N][C@H1][Branch1][C][C][N][Branch1][=Branch1][C][Branch1][C][C][=O][C][Ring1][=Branch2],O=C(CC(NCCC(C)=NN(CC)CO)[NH1])N
[C][C][C][N][=C][Branch2][Ring2][#Branch1][C@H1][C][N][Branch1][=N][C][=Branch1][C][=O][C][=N][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][C][N][Branch2][Ring1][Ring1],CCCN=C[C@H1]1CN(C(=O)C2=NC=CC=C2)CC1CN
[O][=C][Branch1][C][O-1][C@H1][C][C][C@@H1][Branch2][Ring1][#Branch1][N][C][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=N][Ring1][=Branch2][C][Ring2][Ring1][Ring1],O=C([O-1])[C@H1]CC[C@@H1](NCC([N+1]([O-1])=O)=CC([N+1]([O-1])=O)=N)C
[C][Branch2][Ring1][#C][C][C][=C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring2][S][Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=N][N][=C][N][=Ring1][=C][N][=C][Ring2][Ring1][=Branch2][N+1][Branch1][C][O-1][=O],C(CC=CNC(=O)C=CC=C(S)CC1=CC=CC(F)=C1)=NN=CN
[C][C][C@@H1][Branch1][=N][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=O][C@@H1][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][N][C][C][O][Ring1][=C],CC[C@@H1](C(N1CCOCC1)=O)[C@@H1](C2=CC=C(C(=O)[O-1])C=C2)NCCO
[N][=C][C][=N][C][=C][Ring1][=Branch1][N][C][Branch1][#Branch2][C@@H1][Branch1][S][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][O-1][=C][Ring1][Branch2][=O][N][Ring2][Ring1][C][C][C][C][Branch1][C][F][F],N1=C2C=NC=C1NC([C@@H1]C3=CC(Cl)=CC([O-1])=C3O)N2CCC(F)F
[C][Branch1][=Branch2][C][C][=Branch1][C][=O][O-1][C][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],C(CC(=O)[O-1])(=O)N[C@H1](C(C)C)C(=O)[O-1]
[C][Branch2][Ring1][#C][C][=Branch1][C][=O][N][C][C][=C][Branch1][#C][C][Branch1][O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][=O][C][Ring1][=C][=C][Branch1][C][F][C][=N][Ring2][Ring1][Branch2],C1(C(=O)NC2C=C(C(NCC3=CC=NC=C3)=O)C2=CF)C=N1
[N][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C@H1][N][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch1][C@H1][Ring1][=Branch1][C][Ring1][O][C][#N][C][=C][C][=C][Ring2][Ring1][Ring1][Br],N1=C(NC(=O)[C@H1]2N[C@H1](O)[C@@H1][C@H1]2CC#N)C=CC=C1Br
[C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][N][C][C][N][Branch1][P][C][=Branch1][C][=O][C][=C][N][Branch1][Ring1][C][C][N][=C][Ring1][#Branch1][C][C][Ring1][#C][N][=C][C][=C][C][=C][Ring2][Ring1][=Branch2][Ring1][=Branch1],C1=C(C(=O)N2CCNC(=O)C3=CN(CC)N=C3C)C2N=CC=CC=C1
[C][=N][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=C][N][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][=C][Ring1][=C],C=NC(N1CCOCC1)=CN(C(=O)[O-1])CC=C
