smiles,selfies
NC(=O)c1c(N)cnn1CCF,[N][C][=Branch1][C][=O][C][=C][Branch1][C][N][C][=N][N][Ring1][=Branch1][C][C][F]
Cc1nn(C)cc1C1=NO[C@H](C(=O)[O-])C1,[C][C][=N][N][Branch1][C][C][C][=C][Ring1][=Branch1][C][=N][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Ring1][Branch2]
O=C(Nc1ccc(Cn2cncn2)cc1)c1cnc2sccn2c1=O,[O][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][Ring1][N][C][=C][N][=C][S][C][=C][N][Ring1][Branch1][C][Ring1][=Branch2][=O]
COC[C@@H]1CN(C(=O)Cn2cccn2)C[C@H]1c1ccccn1,[C][O][C][C@@H1][C][N][Branch1][=N][C][=Branch1][C][=O][C][N][C][=C][C][=N][Ring1][Branch1][C][C@H1][Ring1][=N][C][=C][C][=C][C][=N][Ring1][=Branch1]
Nc1cccc(S(=O)(=O)N2CCC(C(=O)[O-])CC2)c1,[N][C][=C][C][=C][C][Branch2][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Ring1][=Branch2][=C][Ring2][Ring1][C]
O=C(NCc1nnn2c1CN(Cc1ccccc1)C(=O)C2)c1cccnc1,[O][=C][Branch2][Ring1][=C][N][C][C][N][=N][N][C][=Ring1][Branch1][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring1][=C][C][=C][C][=C][N][=C][Ring1][=Branch1]
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][C][=N][C][=C][Branch1][#C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Ring1][P][Ring2][Ring1][Branch1]
CCn1ncc(NC(=O)Cn2cc([N+](=O)[O-])c(C)n2)c1C(N)=O,[C][C][N][N][=C][C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][C][=N][Ring1][=Branch2][=C][Ring2][Ring1][C][C][Branch1][C][N][=O]
Cn1cnc2ccc(NC(=O)CCCn3cccn3)cc2c1=O,[C][N][C][=N][C][=C][C][=C][Branch1][S][N][C][=Branch1][C][=O][C][C][C][N][C][=C][C][=N][Ring1][Branch1][C][=C][Ring1][P][C][Ring2][Ring1][Branch1][=O]
Cc1ccc2oc(-c3ccccc3OCC(=O)NCc3ccc(F)cc3)nc2c1,[C][C][=C][C][=C][O][C][Branch2][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=N][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][N]
Cc1c([N+](=O)[O-])c(C(=O)N2CCN(C(=O)c3ccco3)CC2)nn1C,[C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][N][C][C][N][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][O][Ring1][Branch1][C][C][Ring1][=N][=N][N][Ring2][Ring1][#Branch1][C]
O=C(c1ncccn1)N1CCC[C@@H](N(Cc2cccnc2)C(=O)C2CCC2)C1,[O][=C][Branch1][=Branch2][C][=N][C][=C][C][=N][Ring1][=Branch1][N][C][C][C][C@@H1][Branch2][Ring1][#Branch1][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][C][C][Ring1][Ring2][C][Ring2][Ring1][Ring2]
CCOC(=O)c1nc2cc(C)c(C)cc2nc1Nc1cccc(F)c1,[C][C][O][C][=Branch1][C][=O][C][=N][C][=C][C][Branch1][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][N][=C][Ring1][N][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1]
Cn1cc(CN2CCN(C(=O)c3ccsc3)CC2)ccc1=O,[C][N][C][=C][Branch2][Ring1][#Branch1][C][N][C][C][N][Branch1][N][C][=Branch1][C][=O][C][C][=C][S][C][=Ring1][Branch1][C][C][Ring1][=N][C][=C][C][Ring2][Ring1][Ring2][=O]
NC(N)=N[S@@+](=O)([OH2+])c1ccccc1,[N][C][Branch1][C][N][=N][S@@+1][=Branch1][C][=O][Branch1][C][OH2+1][C][=C][C][=C][C][=C][Ring1][=Branch1]
CCn1nc(C)c(NC(=O)c2ccncc2)c1C,[C][C][N][N][=C][Branch1][C][C][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1][=C][Ring1][#C][C]
O=C(Nc1cccc2c1CCCC2)c1ccc(-n2nnc3cccnc32)cc1,[O][=C][Branch1][S][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Branch1][=C][N][N][=N][C][=C][C][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][C][=C][Ring1][#C]
O=C(CCCn1c(=O)[nH]c2ccccc2c1=O)Nc1ncc[nH]1,[O][=C][Branch2][Ring1][=Branch1][C][C][C][N][C][=Branch1][C][=O][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O][N][C][=N][C][=C][NH1][Ring1][Branch1]
Nc1c([N+](=O)[O-])nn(-c2ccc3c(c2)OCCO3)[n+]1[O-],[N][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=N][N][Branch1][P][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1][N+1][=Ring2][Ring1][C][O-1]
COc1cccc(-c2n[nH]c(C3CC3)c2NC(=O)c2cc(F)cc(F)c2)c1,[C][O][C][=C][C][=C][C][Branch2][Ring2][C][C][=N][NH1][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][=C][Ring1][Branch2][N][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][C][Branch1][C][F][=C][Ring1][Branch2][=C][Ring2][Ring1][=Branch2]
Cc1c([S@+](=O)([OH2+])N(C)Cc2ccnn2C)cnn1C(F)F,[C][C][=C][Branch2][Ring1][Branch1][S@+1][=Branch1][C][=O][Branch1][C][OH2+1][N][Branch1][C][C][C][C][=C][C][=N][N][Ring1][Branch1][C][C][=N][N][Ring1][P][C][Branch1][C][F][F]
Cc1cc(C)n(CCC(=O)N2C[C@@H](CO)[C@H](c3ccncc3)C2)n1,[C][C][C][=C][Branch1][C][C][N][Branch2][Ring1][N][C][C][C][=Branch1][C][=O][N][C][C@@H1][Branch1][Ring1][C][O][C@H1][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][Ring1][=N][N][=Ring2][Ring1][#Branch1]
Cc1c(C(=O)N(C)C)sc(NC(=O)c2ccn(C)n2)c1C#N,[C][C][=C][Branch1][#Branch2][C][=Branch1][C][=O][N][Branch1][C][C][C][S][C][Branch1][S][N][C][=Branch1][C][=O][C][C][=C][N][Branch1][C][C][N][=Ring1][=Branch1][=C][Ring2][Ring1][Ring1][C][#N]
COCc1noc(-c2nn(C)c3c2CN(C(=O)C2CCC2)C3)n1,[C][O][C][C][=N][O][C][Branch2][Ring1][N][C][=N][N][Branch1][C][C][C][=C][Ring1][=Branch1][C][N][Branch1][O][C][=Branch1][C][=O][C][C][C][C][Ring1][Ring2][C][Ring1][O][=N][Ring2][Ring1][Ring2]
C[S@+](=O)([OH2+])N1CCC[C@@H](C(=O)Nc2ccccc2C(N)=O)C1,[C][S@+1][=Branch1][C][=O][Branch1][C][OH2+1][N][C][C][C][C@@H1][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][N][=O][C][Ring2][Ring1][C]
O=C([O-])CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],[O][=C][Branch1][C][O-1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O-1]
O=C([O-])Cn1cnc([N+](=O)[O-])c1,[O][=C][Branch1][C][O-1][C][N][C][=N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][Branch2]
Cc1cc(C(=O)N2CCOCC2)c2c(C)nn(C)c2n1,[C][C][=C][C][Branch1][=N][C][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1][=C][C][Branch1][C][C][=N][N][Branch1][C][C][C][Ring1][#Branch1][=N][Ring2][Ring1][Ring1]
Cc1nn(C)cc1CN(C)C(=O)[C@H]1CCCN(c2cc(=O)n(C)c(=O)n2C)C1,[C][C][=N][N][Branch1][C][C][C][=C][Ring1][=Branch1][C][N][Branch1][C][C][C][=Branch1][C][=O][C@H1][C][C][C][N][Branch2][Ring1][Ring1][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Ring1][=Branch2][C][C][Ring1][S]
Cn1ncc(NC(=O)[C@H]2[C@H](C(=O)[O-])[C@@H]3C=C[C@H]2C3)c1C(N)=O,[C][N][N][=C][C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C@H1][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C@@H1][C][=C][C@H1][Ring1][=Branch2][C][Ring1][Branch1][=C][Ring2][Ring1][C][C][Branch1][C][N][=O]
Cn1ncc(C(=O)[O-])c1[N+](=O)[O-],[C][N][N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1]
Cn1c(=O)c2cc([S@@+](N)(=O)[OH2+])ccc2n(C)c1=O,[C][N][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch2][S@@+1][Branch1][C][N][=Branch1][C][=O][OH2+1][=C][C][=C][Ring1][#Branch2][N][Branch1][C][C][C][Ring1][S][=O]
CCn1ncc(NC(=O)[C@@H]2CCCO2)c1C(N)=O,[C][C][N][N][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C@@H1][C][C][C][O][Ring1][Branch1][=C][Ring1][=N][C][Branch1][C][N][=O]
O=C(c1cc2ccccc2[nH]1)N1CCC[C@H](c2nnc(-c3ccccc3)o2)C1,[O][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][N][C][C][C][C@H1][Branch2][Ring1][C][C][=N][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][O][C][Ring1][P]
CC[N@H+]1CCC[C@H]1CNC(=O)C1CCN(c2nnc(C)c3c(C)n(-c4ccc(C)cc4)nc23)CC1,[C][C][N@H1+1][C][C][C][C@H1][Ring1][Branch1][C][N][C][=Branch1][C][=O][C][C][C][N][Branch2][Ring2][C][C][=N][N][=C][Branch1][C][C][C][=C][Branch1][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][N][=C][Ring2][Ring1][C][Ring1][=N][C][C][Ring2][Ring1][Branch2]
Nc1cccc(N2C(=O)[C@@H]3CCCN3C2=O)c1,[N][C][=C][C][=C][C][Branch1][P][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][Ring1][=Branch2][=O][=C][Ring1][S]
Cn1cnc2c(C(=O)NC[C@H]3CCCO3)nn(-c3ccccc3)c2c1=O,[C][N][C][=N][C][C][Branch1][=C][C][=Branch1][C][=O][N][C][C@H1][C][C][C][O][Ring1][Branch1][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2][=O]
O=C(NCc1cccc(F)c1)N1CCC2(CC1)Cc1ccccc1C[NH2+]2,[O][=C][Branch1][=C][N][C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][NH2+1][Ring1][N]
Cc1nn2c(N)c(C(=O)NN)cnc2c1-c1ccccc1,[C][C][=N][N][C][Branch1][C][N][=C][Branch1][#Branch1][C][=Branch1][C][=O][N][N][C][=N][C][Ring1][O][=C][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1]
COC(=O)CCC(=O)N1CCC(n2c(=O)oc3ccc(C(=O)OC)cc32)CC1,[C][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][C][C][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C][=C][Ring1][#Branch2][Ring1][=C][C][C][Ring2][Ring1][Ring2]
Cc1csc2ncc(C(=O)N3CCN(C)CC3)c(=O)n12,[C][C][=C][S][C][=N][C][=C][Branch1][S][C][=Branch1][C][=O][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][Ring1][Ring1][S]
CN1C(=O)COc2ccc(C(=O)N3CCC4(CC3)OCCO4)cc21,[C][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1][C][=C][Ring2][Ring1][C][Ring2][Ring1][#Branch1]
Cn1c(SCC(=O)/N=c2\[nH]cn[nH]2)nc2ccccc2c1=O,[C][N][C][Branch1][#C][S][C][C][=Branch1][C][=O][/N][=C][\NH1][C][=N][NH1][Ring1][Branch1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][Ring2][=O]
O=C([O-])C[C@H](C(=O)[O-])n1cc[nH+]c1,[O][=C][Branch1][C][O-1][C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][N][C][=C][NH1+1][=C][Ring1][Branch1]
Cc1ccc2ncn(C3CCN(C(=O)Cc4c(F)cccc4F)CC3)c2c1,[C][C][=C][C][=C][N][=C][N][Branch2][Ring1][=N][C][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][C][C][Ring1][P][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][#Branch2]
Cn1c(=O)c2c(=O)c([N+](=O)[O-])c3n(c2n(C)c1=O)CCN3,[C][N][C][=Branch1][C][=O][C][C][=Branch1][C][=O][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][N][Branch1][N][C][=Ring1][#Branch2][N][Branch1][C][C][C][Ring1][S][=O][C][C][N][Ring1][#Branch2]
CCn1cc(CN2CCN(C(=O)[C@@H]3CCC[NH2+]C3)CC2)ccc1=O,[C][C][N][C][=C][Branch2][Ring1][Branch2][C][N][C][C][N][Branch1][=N][C][=Branch1][C][=O][C@@H1][C][C][C][NH2+1][C][Ring1][=Branch1][C][C][Ring1][=C][C][=C][C][Ring2][Ring1][Branch1][=O]
Cc1cnn(CC(=O)N2CCc3c(c(COc4cnccn4)nn3C)C2)c1,[C][C][C][=N][N][Branch2][Ring2][Ring2][C][C][=Branch1][C][=O][N][C][C][C][=C][Branch2][Ring1][Ring1][C][Branch1][O][C][O][C][=C][N][=C][C][=N][Ring1][=Branch1][=N][N][Ring1][=N][C][C][Ring2][Ring1][C][C][=Ring2][Ring1][#Branch2]
CSCC[C@@H](CO)NC(=O)CCn1ccc2c(cnc3ccnn32)c1=O,[C][S][C][C][C@@H1][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][C][N][C][=C][C][=C][Branch1][N][C][=N][C][=C][C][=N][N][Ring1][Branch1][Ring1][=Branch2][C][Ring1][=N][=O]
Cc1cc(C(=O)N2C[C@@H](CO)[C@H]([NH+](C)C)C2)n(C)n1,[C][C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C@@H1][Branch1][Ring1][C][O][C@H1][Branch1][=Branch1][NH1+1][Branch1][C][C][C][C][Ring1][#Branch2][N][Branch1][C][C][N][=Ring2][Ring1][C]
CCn1ncc(N)c1C(=O)N1CCOCC1,[C][C][N][N][=C][C][Branch1][C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1]
Cn1nc(C(=O)[O-])c2ccccc2c1=O,[C][N][N][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=N][=O]
[NH3+]C[C@H](O)c1ccc2c(c1)OCCO2,[NH3+1][C][C@H1][Branch1][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1]
